csv_code,coefficient,ref_id,variable,survey_year,feature_group,question,abs_coefficient
C0985600,0.1024182191536663,C09856.00,MS901359,1990,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT,0.1024182191536663
Y1417400,-0.10220366280536955,Y14174.00,YASR-65A~000001,2002,prior delinquency/contact,CHARGES R MOST RECENTLY CONVICTED OF - ASSAULT,0.10220366280536955
Y0672100,-0.10183448638266848,Y06721.00,YASR-65A~000012,1996,substance/risk behavior,YASR: EVER CONVICTED OF DRINKING/PURCHASING ALCOHOL WHILE UNDER,0.10183448638266848
C0795900,0.10126874534540137,C07959.00,ANTIPX1988,1988,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - SAME SEX,0.10126874534540137
Y3326202,0.09927356568061955,Y33262.02,YASR-65A~000003,2014,prior delinquency/contact,CHARGES R MOST RECENTLY CONVICTED OF - THEFT,0.09927356568061955
Y0971000,0.09907430616359819,Y09710.00,YASR-66F,1998,prior delinquency/contact,YA SELF-REPORT: AGE WHEN FIRST REFERRED TO COURT-RELATED COUNSELING,0.09907430616359819
Y0968800,-0.09875496655926565,Y09688.00,YASR-65A~000005,1998,prior delinquency/contact,YA SELF-REPORT: EVER CONVICTED OF DESTRUCTION OF PROPERTY?,0.09875496655926565
C3986600,0.09822684912753979,C39866.00,BPMIS22010,2010,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL RAW SCORE TRICHOTOMOUS ITEMS -,0.09822684912753979
Y2345000,0.09795283898031601,Y23450.00,Q4-5AA,2010,school/achievement,HAS R EVER SEEN A STUDENT CARRY A WEAPON ON SCHOOL PROPERTY,0.09795283898031601
Y2958300,0.09732187069110208,Y29583.00,YASR-60C,2012,prior delinquency/contact,HOW MANY TIMES IN LAST YEAR R HURT SOMEONE BADLY ENOUGH TO NEED,0.09732187069110208
C3420000,-0.0964599404858509,C34200.00,MS-BPI-04,2006,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES,0.0964599404858509
C5967600,0.09635176032393056,C59676.00,CSAS040B,2014,prior delinquency/contact,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO,0.09635176032393056
C1944900,-0.09566952171243329,C19449.00,MS981A16,1998,family/home,HOME PART A (0-2 YRS): HOW OFTEN MOTHER TALKS TO CHILD WHILE,0.09566952171243329
C1435500,0.09487937612055258,C14355.00,MS941443,1994,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD DOES NOT SEEM TO FEEL SORRY AFTER,0.09487937612055258
C3421500,-0.09486634122405181,C34215.00,MS-BPI-19,2006,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT,0.09486634122405181
Y1176804,-0.09457516155646645,Y11768.04,YASR-65A~000005,2000,prior delinquency/contact,CHARGES R MOST RECENTLY CONVICTED OF - DESTRUCTION OF PROPERTY,0.09457516155646645
Y3031000,0.09440001560928603,Y30310.00,Q4-5AB,2014,school/achievement,IN LAST SCHOOL YEAR HOW OFTEN HAS R SEEN A STUDENT CARRY A WEAPON,0.09440001560928603
Y1667600,0.09426903450042261,Y16676.00,YASR-60F,2004,school/achievement,HOW MANY TIMES IN LAST YEAR R DAMAGED SCHOOL PROPERTY ON PURPOSE,0.09426903450042261
C0578100,0.09373609660527214,C05781.00,LOCA1986,1986,school/achievement,MEMORY FOR LOCATION:  TOTAL RAW SCORE,0.09373609660527214
Y0672800,0.09259361354649659,Y06728.00,YASR-66,1996,prior delinquency/contact,YASR: EVER BEEN SENTENCED TO A CORRECTIONS INSTITUTION/JAIL/REFORM,0.09259361354649659
Y0968500,-0.09229832822058347,Y09685.00,YASR-65A~000002,1998,prior delinquency/contact,YA SELF-REPORT: EVER CONVICTED OF ROBBERY?,0.09229832822058347
C3049900,-0.0913526952225715,C30499.00,CSAS057B,2004,substance/risk behavior,CHILD SELF-ADMIN: CHILD'S AGE WHEN FIRST DRANK ALCOHOL MORE THAN,0.0913526952225715
C3868400,0.09102357205114339,C38684.00,CSAS030A,2008,other,CHILD SELF-ADMIN: GIRLS AND BOYS SHOULD BE TREATED THE SAME AT,0.09102357205114339
C3946800,-0.09070876966655571,C39468.00,MS-BPI-13,2008,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT,0.09070876966655571
Y4275601,0.09065401284092524,Y42756.01,YASR-60B-J~000002,2018,prior delinquency/contact,HOW MANY TIMES IN LAST YEAR R HURT SOMEONE BADLY ENOUGH TO NEED,0.09065401284092524
C2472000,-0.0897724965529618,C24720.00,CSAS057,2000,substance/risk behavior,CHILD SELF-ADMIN: CHILD'S AGE WHEN FIRST DRANK ALCOHOL,0.0897724965529618
C5807500,-0.08872243755080106,C58075.00,BPEXTZ2014,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL STANDARD SCORE TRICHOTOMOUS ITEMS,0.08872243755080106
C5765000,-0.08787642670290537,C57650.00,MS-BPI-10,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME,0.08787642670290537
C5527600,0.08780829528635546,C55276.00,NH6_112012,2012,family/home,# HOUSEHOLD MEMBERS AGED 6 - 11 IN HOUSEHOLD OF MOTHER,0.08780829528635546
C3048400,-0.0873418823965266,C30484.00,CSAS049A,2004,other,CHILD SELF-ADMIN: OFTEN GETS IN A JAM BECAUSE R DOES THINGS W/O,0.0873418823965266
C3010700,-0.08627790424070043,C30107.00,BPI-11,2004,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD DOES NOT SEEM TO FEEL SORRY AFTER,0.08627790424070043
C3609000,-0.08573973253955293,C36090.00,ANTIPX2008,2008,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - SAME SEX,0.08573973253955293
S0043800,0.08490418234664962,S00438.00,P1Q38O,1995,school/achievement,PRINCIPAL #1: SCHOOL PROBLEM - DEGREE OF POSSESSION OF WEAPONS,0.08490418234664962
C1562600,0.08459131738860438,C15626.00,BPEXTP1996,1996,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL PERCENTILE SCORE TRICHOTOMOUS,0.08459131738860438
C5190200,0.08453724909442602,C51902.00,MS-BPI-06,2010,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD ARGUES TOO MUCH,0.08453724909442602
Y1176800,0.08397414560231468,Y11768.00,YASR-65A~000001,2000,prior delinquency/contact,CHARGES R MOST RECENTLY CONVICTED OF - ASSAULT,0.08397414560231468
Y3247700,0.08362822718148556,Y32477.00,Q13-3E.01~000019,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT,0.08362822718148556
C0781700,-0.08354567165678796,C07817.00,MS880814,1988,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME,0.08354567165678796
C1801400,0.0833940415741691,C18014.00,CS98LIK_02,1998,other,WHAT I AM LIKE/SPPC: SOME KIDS UNHAPPY/SOME PLEASED WITH THEMSELVES,0.0833940415741691
C0577900,-0.08332521508298132,C05779.00,BODY1986,1986,school/achievement,KNOWLEDGE OF BODY PARTS: TOTAL RAW SCORE,0.08332521508298132
C5765100,0.08279905261647505,C57651.00,MS-BPI-11,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD DOES NOT SEEM TO FEEL SORRY AFTER,0.08279905261647505
C0797105,-0.08278170821517743,C07971.05,BPEXTP1988,1988,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL PERCENTILE SCORE TRICHOTOMOUS,0.08278170821517743
C3946500,0.08267965523116542,C39465.00,MS-BPI-10,2008,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME,0.08267965523116542
C3609100,-0.08241249332353441,C36091.00,ANTIP2008,2008,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - ALL CHILDREN,0.08241249332353441
Y2877903,0.08235690102067343,Y28779.03,Q13-3F.01~000028,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HANGS AROUND WITH KIDS WHO GET INTO,0.08235690102067343
C3987200,-0.08180779572175535,C39872.00,BPEXTP2010,2010,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL PERCENTILE SCORE TRICHOTOMOUS,0.08180779572175535
C5693600,0.08156680333402783,C56936.00,CSAS024A,2012,peer/neighborhood,CHILD SELF-ADMIN: HAS CHILD EVER SEEN STUDENT CARRY A WEAPON ON,0.08156680333402783
Y1739200,-0.0810772638891584,Y17392.00,Q4-5AB,2006,school/achievement,IN LAST SCHOOL YEAR HOW OFTEN HAS R SEEN A STUDENT CARRY A WEAPON,0.0810772638891584
C5806900,-0.08100286053295148,C58069.00,BPEXTR2014,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL SCORE TRICHOTOMOUS ITEMS,0.08100286053295148
C2497600,0.08096111725042594,C24976.00,ANTIP2000,2000,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - ALL CHILDREN,0.08096111725042594
C0119000,0.07922745325882306,C01190.00,NH6_111988,1988,family/home,NUMBER OF HOUSEHOLD MEMBERS AGED 6 - 11,0.07922745325882306
C3947400,0.07912762744065113,C39474.00,MS-BPI-19,2008,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT,0.07912762744065113
Y2341500,0.07893172983953231,Y23415.00,Q3-65~000001,2010,other,HOW FREQUENTLY R AND SPOUSE/PARTNER ARGUE ABOUT CHORES AND,0.07893172983953231
Y0967600,0.07877161371125223,Y09676.00,YASR-61O,1998,prior delinquency/contact,YA SELF-REPORT: HAVE YOU EVER IN LAST YEAR HURT SOMEONE ENOUGH TO,0.07877161371125223
S0062300,-0.07840116423438023,S00623.00,P2Q38F,1995,school/achievement,PRINCIPAL #2: SCHOOL PROBLEM - DEGREE OF ROBBERY OR THEFT,0.07840116423438023
C5764400,-0.07772351606474422,C57644.00,MS-BPI-04,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES,0.07772351606474422
Y0969800,-0.07770415288392944,Y09698.00,YASR-67,1998,prior delinquency/contact,YA SELF-REPORT: EVER BEEN ON PROBATION?,0.07770415288392944
Y3325704,0.07759186086419799,Y33257.04,YASR-60B-J~000005,2014,school/achievement,HOW MANY TIMES IN LAST YEAR R DAMAGED SCHOOL PROPERTY ON PURPOSE,0.07759186086419799
C6034100,0.07758907741320015,C60341.00,MS-BPI-28,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HANGS AROUND WITH KIDS WHO GET INTO,0.07758907741320015
C1194100,0.07756909989537601,C11941.00,ANTI1992,1992,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL RAW SCORE,0.07756909989537601
Y1176801,0.07708458625522707,Y11768.01,YASR-65A~000002,2000,prior delinquency/contact,CHARGES R MOST RECENTLY CONVICTED OF - ROBBERY,0.07708458625522707
Y2961700,0.07704773361344806,Y29617.00,YASR-69B,2012,socioeconomic/work,WAS ANY OF VOLUNTEER WORK R HAS DONE COURT ORDERED?,0.07704773361344806
C2770600,-0.07688732580506488,C27706.00,CSAS063,2002,substance/risk behavior,CHILD SELF-ADMIN: CHILD'S AGE WHEN FIRST USED MARIJUANA,0.07688732580506488
Y3246603,-0.07657880636849894,Y32466.03,Q13-3C.02~000010,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME,0.07657880636849894
C1505800,0.07606748812824965,C15058.00,BPEXTS1994,1994,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL STANDARD SCORE TRICHOTOMOUS ITEMS,0.07606748812824965
Y1737502,0.0760339489539593,Y17375.02,Q3-78~000003,2006,other,DO R AND SPOUSE/PARTNER HAVE SEPARATE CREDIT CARDS?,0.0760339489539593
Y1417402,0.07593913461721286,Y14174.02,YASR-65A~000003,2002,prior delinquency/contact,CHARGES R MOST RECENTLY CONVICTED OF - THEFT,0.07593913461721286
Y0971600,-0.07544041661856248,Y09716.00,YASR-69B,1998,socioeconomic/work,YA SELF-REPORT: WAS VOLUNTEER WORK COURT ORDERED?,0.07544041661856248
Y0672400,-0.0754095853967466,Y06724.00,YASR-67,1996,prior delinquency/contact,YA SELF-REPORT: EVER BEEN ON PROBATION?,0.0754095853967466
Y0968000,0.07484811952688748,Y09680.00,YASR-63,1998,prior delinquency/contact,YA SELF-REPORT: NUMBER OF TIMES BEEN CONVICTED OF SOMETHING,0.07484811952688748
C1978800,-0.0746373300674183,C19788.00,MS984019,1998,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT,0.0746373300674183
C0127914,-0.07460332947080094,C01279.14,NH12_171994,1994,family/home,# HOUSEHOLD MEMBERS AGED 12 - 17 IN HOUSEHOLD OF MOTHER,0.07460332947080094
Y0966400,0.07459277575227871,Y09664.00,YASR-61B,1998,prior delinquency/contact,YA SELF-REPORT: HAVE YOU EVER IN PAST YEAR GOTTEN INTO FIGHT AT,0.07459277575227871
Y2020000,0.07412299142577529,Y20200.00,Q4-5AB,2008,school/achievement,IN LAST SCHOOL YEAR HOW OFTEN HAS R SEEN A STUDENT CARRY A WEAPON,0.07412299142577529
C6099800,-0.07358776043453695,C60998.00,MS-BPI-04,2016,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES,0.07358776043453695
Y3671404,-0.07338190356101408,Y36714.04,YASR-65A~000005,2016,prior delinquency/contact,CHARGES R MOST RECENTLY CONVICTED OF - DESTRUCTION OF PROPERTY,0.07338190356101408
C1502600,-0.07326745918205978,C15026.00,ANTIP1994,1994,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - ALL CHILDREN,0.07326745918205978
C1795200,-0.07246812916607623,C17952.00,ANTIP1998,1998,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - ALL CHILDREN,0.07246812916607623
Y3589301,-0.07113944245614812,Y35893.01,Q13-3G.01~000026,2016,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL,0.07113944245614812
C5764600,0.07111700126061588,C57646.00,MS-BPI-06,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD ARGUES TOO MUCH,0.07111700126061588
Y0969200,-0.07070858787888025,Y09692.00,YASR-65A~000009,1998,substance/risk behavior,YA SELF-REPORT: EVER CONVICTED OF POSSESSION/USE OF ILLICIT DRUGS?,0.07070858787888025
C3987500,0.07010778945130489,C39875.00,ANTI2010,2010,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL RAW SCORE,0.07010778945130489
C0996600,0.06939366889927792,C09966.00,ANTIZX1990,1990,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL STANDARD SCORE - SAME SEX,0.06939366889927792
Y3587003,-0.06897747421182988,Y35870.03,Q13-3C.02~000010,2016,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME,0.06897747421182988
C3868100,0.06887746531507653,C38681.00,CSAS024A,2008,peer/neighborhood,CHILD SELF-ADMIN: HAS CHILD EVER SEEN STUDENT CARRY A WEAPON ON,0.06887746531507653
C1802100,-0.06855097638548578,C18021.00,CS98LIK_09,1998,school/achievement,WHAT I AM LIKE/SPPC: SOME DO WELL AT CLASSWORK/OTHERS DO NOT DO SO,0.06855097638548578
C2433600,0.06854413440665634,C24336.00,MS2-11,2000,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD DOES NOT SEEM TO FEEL SORRY AFTER,0.06854413440665634
Y0673400,0.06810887341085971,Y06734.00,YASR-66D,1996,prior delinquency/contact,YASR: EVER BEEN REFERRED TO COURT-RELATED COUNSELING BY,0.06810887341085971
Y2258700,-0.06751175581102647,Y22587.00,YASR-69B,2008,socioeconomic/work,WAS ANY OF VOLUNTEER WORK R HAS DONE COURT ORDERED?,0.06751175581102647
C0731000,0.06727266588532847,C07310.00,CS884224,1988,school/achievement,CHILD SELF-ADMINISTERED: DAMAGED SCHOOL PROPERTY ON PURPOSE,0.06727266588532847
C1437200,-0.0668770265606484,C14372.00,MS941513,1994,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HANGS AROUND WITH KIDS WHO GET INTO,0.0668770265606484
C3012400,-0.06590741847310658,C30124.00,BPI-28,2004,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HANGS AROUND WITH KIDS WHO GET INTO,0.06590741847310658
C0005300,-0.06586097293861955,C00053.00,CRACE,XRND,background,RACE OF CHILD (MOTHER'S RACIAL/ETHNIC COHORT FROM SCREENER),0.06586097293861955
Y0968700,-0.06541121023349743,Y09687.00,YASR-65A~000004,1998,prior delinquency/contact,YA SELF-REPORT: EVER CONVICTED OF FENCING/RECEIVING/SELLING STOLEN,0.06541121023349743
C1505600,0.06529371204938035,C15056.00,BPEXTR1994,1994,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL SCORE TRICHOTOMOUS ITEMS,0.06529371204938035
C1501900,0.06515995008683216,C15019.00,ANTI1994,1994,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL RAW SCORE,0.06515995008683216
Y3247200,-0.06489944734262794,Y32472.00,Q13-3D.02~000013,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT,0.06489944734262794
C5967900,0.06448082430391484,C59679.00,CSAS040E,2014,school/achievement,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR DAMAGED SCHOOL PROPERTY ON,0.06448082430391484
C1560900,-0.0642177739030154,C15609.00,ANTIPX1996,1996,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - SAME SEX,0.0642177739030154
C3608900,0.06417843993319147,C36089.00,ANTI2008,2008,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL RAW SCORE,0.06417843993319147
Y1176807,0.064092465803312,Y11768.07,YASR-65A~000008,2000,substance/risk behavior,CHARGES R MOST RECENTLY CONVICTED OF - SELLING OF MARIJUANA OR,0.064092465803312
C2770000,0.06398324181789149,C27700.00,CSAS057B,2002,substance/risk behavior,CHILD SELF-ADMIN: CHILD'S AGE WHEN FIRST DRANK ALCOHOL MORE THAN,0.06398324181789149
Y1417407,-0.06367075684536379,Y14174.07,YASR-65A~000008,2002,substance/risk behavior,CHARGES R MOST RECENTLY CONVICTED OF - SELLING OF MARIJUANA OR,0.06367075684536379
C3011500,-0.06327400294281474,C30115.00,BPI-19,2004,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT,0.06327400294281474
C0995900,0.06326495345356768,C09959.00,ANTIPX1990,1990,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - SAME SEX,0.06326495345356768
C1977300,-0.06316539699055948,C19773.00,MS984004,1998,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES,0.06316539699055948
C2738300,-0.06283151425169661,C27383.00,BPI-11,2002,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD DOES NOT SEEM TO FEEL SORRY AFTER,0.06283151425169661
C1592100,-0.06252818028885837,C15921.00,CS960935,1996,substance/risk behavior,CHILD SELF-ADMIN: CHILD'S AGE WHEN FIRST DRANK ALCOHOL,0.06252818028885837
C1370500,-0.06214900965244607,C13705.00,CS942649,1994,substance/risk behavior,CHILD SELF-ADMIN: CHILD'S AGE WHEN FIRST USED MARIJUANA,0.06214900965244607
Y0969500,-0.06204567761662916,Y09695.00,YASR-65A~000012,1998,substance/risk behavior,YASR: EVER CONVICTED OF DRINKING/PURCHASING ALCOHOL WHILE UNDER,0.06204567761662916
C2497100,0.061894183550099825,C24971.00,BPEXTP2000,2000,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL PERCENTILE SCORE TRICHOTOMOUS,0.061894183550099825
C1559500,-0.06177388089079192,C15595.00,ANTIP1996,1996,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - ALL CHILDREN,0.06177388089079192
C0733200,-0.061679023059406576,C07332.00,CS884251,1988,substance/risk behavior,CHILD SELF-ADMINISTERED: R USED MARIJUANA IN THE PAST 3 MONTHS,0.061679023059406576
C0564500,0.061629679781176214,C05645.00,MS860523,1986,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD ARGUES TOO MUCH,0.061629679781176214
C2797500,0.06158666241425052,C27975.00,ANTIZX2004,2004,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL STANDARD SCORE - SAME SEX,0.06158666241425052
C0997106,0.06139640702764076,C09971.06,BPEXTZ1990,1990,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL STANDARD SCORE TRICHOTOMOUS ITEMS,0.06139640702764076
Y2256600,0.06111068493709626,Y22566.00,YASR-60C,2008,prior delinquency/contact,HOW MANY TIMES IN LAST YEAR R HURT SOMEONE BADLY ENOUGH TO NEED,0.06111068493709626
C3357600,-0.06085646089576674,C33576.00,CSAS005D,2006,family/home,CHILD SELF-ADMIN: HOW MUCH SAY IN RULES ABOUT DATING AND BOY/GIRL,0.06085646089576674
Y0968400,0.0604203804440454,Y09684.00,YASR-65A~000001,1998,prior delinquency/contact,YA SELF-REPORT: EVER CONVICTED OF ASSAULT?,0.0604203804440454
C0945200,0.06036347022775592,C09452.00,CS906669,1990,substance/risk behavior,CHILD SELF-ADMINISTERED: USED OTHER DRUGS IN THE PAST 3 MONTHS,0.06036347022775592
C0986800,-0.05947257096114069,C09868.00,MS901419,1990,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL,0.05947257096114069
C0783400,0.05942928490137844,C07834.00,MS880831,1988,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL,0.05942928490137844
C1437500,-0.05938739141860606,C14375.00,MS941519,1994,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL,0.05938739141860606
C3948700,-0.05812469897345343,C39487.00,MS-BPI-31,2008,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL,0.05812469897345343
C6053700,0.05804972001021807,C60537.00,ANTIP2016,2016,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - ALL CHILDREN,0.05804972001021807
Y1177300,-0.05803814406034092,Y11773.00,YASR-69B,2000,socioeconomic/work,WAS ANY OF VOLUNTEER WORK R HAS DONE COURT ORDERED?,0.05803814406034092
C0573400,0.05737580368056877,C05734.00,ANTI1986,1986,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL RAW SCORE,0.05737580368056877
C6053900,0.05728058153198691,C60539.00,ANTIZ2016,2016,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL STANDARD SCORE - ALL CHILDREN,0.05728058153198691
Y0969100,-0.05649298172061092,Y09691.00,YASR-65A~000008,1998,substance/risk behavior,YA SELF-REPORT: EVER CONVICTED OF SELLING MARIJUANA OR HASHISH?,0.05649298172061092
Y2257500,-0.05648561027435144,Y22575.00,YASR-61B,2008,school/achievement,IN LAST YEAR R EVER GOTTEN INTO A PHYSICAL FIGHT AT SCHOOL OR WORK,0.05648561027435144
C0944900,-0.056476927650378705,C09449.00,CS906663,1990,substance/risk behavior,CHILD SELF-ADMINISTERED: R USED MARIJUANA IN THE PAST 3 MONTHS,0.056476927650378705
C0995200,0.05595775148774385,C09952.00,ANTIZ1990,1990,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL STANDARD SCORE - ALL CHILDREN,0.05595775148774385
C6053300,-0.05581515890621293,C60533.00,BPEXTZ2016,2016,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL STANDARD SCORE TRICHOTOMOUS ITEMS,0.05581515890621293
C0733300,-0.05546379779184937,C07333.00,CS884252,1988,substance/risk behavior,CHILD SELF-ADMINISTERED: R'S AGE WHEN FIRST USED MARIJUANA,0.05546379779184937
C1220200,0.05518513788623816,C12202.00,CS94H-22,1994,health,HEALTH: CHILD'S HEIGHT - FEET,0.05518513788623816
Y3586303,0.05516359206190073,Y35863.03,Q13-3A.01~000004,2016,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES,0.05516359206190073
C2472600,-0.05499227026753054,C24726.00,CSAS063,2000,substance/risk behavior,CHILD SELF-ADMIN: CHILD'S AGE WHEN FIRST USED MARIJUANA,0.05499227026753054
C5766800,0.054860112321042265,C57668.00,MS-BPI-28,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HANGS AROUND WITH KIDS WHO GET INTO,0.054860112321042265
Y0967900,-0.05452670303315524,Y09679.00,YASR-62A,1998,prior delinquency/contact,YASR: EVER BEEN CONVICTED OF CHARGES OTHER THAN MINOR TRAFFIC,0.05452670303315524
C1197416,0.054274815018464456,C11974.16,BPEXTZ1992,1992,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL STANDARD SCORE TRICHOTOMOUS ITEMS,0.054274815018464456
C1978200,-0.054263722197851236,C19782.00,MS984013,1998,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT,0.054263722197851236
C5675400,-0.054230067518611313,C56754.00,SCHL-15,2012,school/achievement,SCHOOL: HOW OFTEN DOES TEACHER GIVE CHILD HOMEWORK,0.054230067518611313
Y1668804,0.0539245263094926,Y16688.04,YASR-65A~000005,2004,prior delinquency/contact,CHARGES R MOST RECENTLY CONVICTED OF - DESTRUCTION OF PROPERTY,0.0539245263094926
C0732900,-0.053890395969787744,C07329.00,CS884247,1988,substance/risk behavior,CHILD SELF-ADMINISTERED: HAVE R DRUNK ALCOHOL IN PAST 3 MONTHS,0.053890395969787744
C5765900,-0.053810675515784535,C57659.00,MS-BPI-19,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT,0.053810675515784535
C0997105,-0.05319335048193138,C09971.05,BPEXTP1990,1990,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL PERCENTILE SCORE TRICHOTOMOUS,0.05319335048193138
C5530700,0.05314496572990596,C55307.00,BPEXTR2012,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL SCORE TRICHOTOMOUS ITEMS,0.05314496572990596
Y0376500,0.053104125483533174,Y03765.00,YASR-61O,1994,prior delinquency/contact,YA SELF-REPORT: HAVE YOU EVER IN LAST YEAR HURT SOMEONE ENOUGH TO,0.053104125483533174
Y2875503,0.05301046910064141,Y28755.03,Q13-3A.01~000004,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES,0.05301046910064141
